Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,4759,0.054901838302612305,6096,N/A,N/A
BFS,4759,0.09578800201416016,992,N/A,N/A
A*,4759,0.17271900177001953,2240,N/A,N/A
MDP_POLICY,4759,21.083313941955566,-44176,N/A,N/A
MDP_VALUE,4759,79.38281083106995,-56848,N/A,N/A
