Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,439,0.0080718994140625,1072,N/A,N/A
BFS,439,0.031080007553100586,3408,N/A,N/A
A*,439,0.01792001724243164,2848,N/A,N/A
MDP_POLICY,439,6.93100905418396,-42080,N/A,N/A
MDP_VALUE,439,10.291674137115479,-3264,N/A,N/A
