Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,63,0.0021588802337646484,1008,N/A,N/A
BFS,63,0.0001621246337890625,16,N/A,N/A
A*,63,0.00017595291137695312,48,N/A,N/A
MDP_POLICY,63,0.030338048934936523,2688,N/A,N/A
MDP_VALUE,63,0.010853052139282227,80,N/A,N/A
