Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,53,0.0003108978271484375,640,N/A,N/A
BFS,47,0.00032782554626464844,32,N/A,N/A
A*,47,0.0003218650817871094,48,N/A,N/A
MDP_POLICY,47,0.03174090385437012,2592,N/A,N/A
MDP_VALUE,47,0.008914947509765625,96,N/A,N/A
