Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,631,0.002418994903564453,544,N/A,N/A
BFS,631,0.002138853073120117,320,N/A,N/A
A*,631,0.0026988983154296875,208,N/A,N/A
MDP_POLICY,631,0.28736186027526855,4176,N/A,N/A
MDP_VALUE,631,0.9455850124359131,-31104,N/A,N/A
