Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,225,0.0017809867858886719,3552,N/A,N/A
BFS,199,0.0020363330841064453,272,N/A,N/A
A*,199,0.0032720565795898438,272,N/A,N/A
MDP_POLICY,199,0.2101280689239502,1904,N/A,N/A
MDP_VALUE,199,0.36687278747558594,464,N/A,N/A
