Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,631,0.006768703460693359,5936,N/A,N/A
BFS,475,0.011610984802246094,1424,N/A,N/A
A*,475,0.012031078338623047,864,N/A,N/A
MDP_POLICY,475,2.102116107940674,-35456,N/A,N/A
MDP_VALUE,475,3.2470510005950928,-46384,N/A,N/A
