Algorithm,Path Length,Runtime (sec),Memory (kB),Discount,Theta
DFS,1459,0.007053852081298828,768,N/A,N/A
BFS,1459,0.0050029754638671875,336,N/A,N/A
A*,1459,0.008025169372558594,416,N/A,N/A
MDP_POLICY,1459,3.174644947052002,-14672,N/A,N/A
MDP_VALUE,1459,9.56316089630127,-66016,N/A,N/A
